assay,std_type,SMILES,std_value,std_units,standard_relation,molecule_chembl_id,activity_type
Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,IC50,CC1=NN(c2ccc(-c3cccnc3)cc2)C(=O)C1,3900.0,nM,=,CHEMBL3742091,active
Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,IC50,COc1ccc(-c2ccc(N3N=C(C)CC3=O)cc2)cc1,5100.0,nM,=,CHEMBL3741268,active
Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,IC50,CC1=NN(c2ccc(-c3ccccc3)cc2)C(=O)C1,19500.0,nM,=,CHEMBL3741909,inactive
Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,IC50,CC1=NN(c2cccc(COCc3ccccc3)c2)C(=O)C1,2900.0,nM,=,CHEMBL3741680,active
Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,IC50,CC1=NN(c2ccc(-n3cccc3)cc2)C(=O)C1,4000.0,nM,=,CHEMBL3741643,active
Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,IC50,CC1=NN(c2cccc(N3CCCC3)c2)C(=O)C1,16800.0,nM,=,CHEMBL3740581,inactive
Inhibition of N-alpha-biotinyl-amyloid beta (1 to 42 residues) (unknown origin) oligomerization incubated for 1 hr by sandwich biotin-avidin assay,IC50,CC1=NN(c2ccc(N(c3ccccc3)c3ccccc3)cc2)C(=O)C1,4000.0,nM,=,CHEMBL3739861,active
Inhibition of wild type Amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,IC50,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,30300.0,nM,=,CHEMBL28626,inactive
Inhibition of wild type Amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,IC50,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1O,33000.0,nM,=,CHEMBL66,inactive
Inhibition of wild type Amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,IC50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,15300.0,nM,=,CHEMBL50,inactive
Inhibition of wild type Amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,IC50,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,15100.0,nM,=,CHEMBL164,inactive
Inhibition of wild type Amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,IC50,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,75100.0,nM,=,CHEMBL150,inactive
Inhibition of wild type Amyloid beta (1 to 42) (unknown origin) aggregation by Thioflavin-T fluorescence assay,IC50,O=c1c(O)c(-c2ccccc2O)oc2cc(O)cc(O)c12,55400.0,nM,=,CHEMBL503168,inactive
Inhibition of Amyloid beta (1 to 42) (unknown origin) self-induced aggregation incubated for 24 hrs by Thioflavin T-based fluorometric assay,IC50,Cl.Cl.c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,8400.0,nM,=,CHEMBL3752685,active
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 10 hrs by thioflavin T based fluorometric assay,IC50,COc1ccc(CC(=O)Nc2nc(-c3ccccc3)cs2)cc1,10600.0,nM,=,CHEMBL3751854,inactive
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 10 hrs by thioflavin T based fluorometric assay,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,11300.0,nM,=,CHEMBL140,inactive
Inhibition of amyloid beta (1 to 42) (unknown origin) aggregation measured after 24 hrs by Thioflavin T-based fluorometric assay,IC50,Cc1ccc(-c2cc(NCCNc3cc(-c4cccs4)[nH]n3)n[nH]2)cc1,29000.0,nM,=,CHEMBL3781419,inactive
Inhibition of amyloid beta (1 to 42) (unknown origin) aggregation measured after 24 hrs by Thioflavin T-based fluorometric assay,IC50,CN(C)c1ccc(-c2cc(NCCNc3cc(-c4ccc(N(C)C)cc4)[nH]n3)n[nH]2)cc1,7500.0,nM,=,CHEMBL3781022,active
Inhibition of amyloid beta (1 to 42) (unknown origin) aggregation measured after 24 hrs by Thioflavin T-based fluorometric assay,IC50,Fc1ccc(-c2cc(NCCNc3cc(-c4ccc(F)cc4)[nH]n3)n[nH]2)cc1,40500.0,nM,=,CHEMBL3781026,inactive
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1ccc(CC(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1,71.28,nM,=,CHEMBL3797646,active
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1ccc(CC(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1OC,22.54,nM,=,CHEMBL3797706,active
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1ccc(CC(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)c(OC)c1OC,51.81,nM,=,CHEMBL3799558,active
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,O=C(COC(=O)Cc1ccc(O)cc1)Nc1c2c(nc3ccccc13)CCCC2,45.29,nM,=,CHEMBL3798857,active
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,O=C(COC(=O)Cc1ccc(Cl)cc1)Nc1c2c(nc3ccccc13)CCCC2,77.45,nM,=,CHEMBL3797623,active
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(OC)cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)c1,55.86,nM,=,CHEMBL3798989,active
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,30.74,nM,=,CHEMBL3797363,active
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1ccc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)c(OC)c1OC,65.5,nM,=,CHEMBL3799703,active
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)ccc1O,37.36,nM,=,CHEMBL3797381,active
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,O=C(COC(=O)c1ccc(O)c(O)c1)Nc1c2c(nc3ccccc13)CCCC2,17.36,nM,=,CHEMBL3800453,active
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1ccc(/C=C/C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1OC,49.14,nM,=,CHEMBL3800317,active
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(/C=C/C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,45.88,nM,=,CHEMBL3799950,active
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1ccc(/C=C/C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1O,46.12,nM,=,CHEMBL3798813,active
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,O=C(COC(=O)/C=C/c1ccc(Cl)cc1)Nc1c2c(nc3ccccc13)CCCC2,51.77,nM,=,CHEMBL3799175,active
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,O=C(COC(=O)Cc1c[nH]c2ccccc12)Nc1c2c(nc3ccccc13)CCCC2,38.96,nM,=,CHEMBL3799641,active
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,Nc1c2c(nc3ccccc13)CCCC2,12.21,nM,=,CHEMBL95,active
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,4100.0,nM,=,CHEMBL165,active
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,3100.0,nM,=,CHEMBL140,active
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(F)c2)nc2ccccc12,14700.0,nM,=,CHEMBL3813837,inactive
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Br)cc2)nc2ccccc12,1700.0,nM,=,CHEMBL3814001,active
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Br)c2)nc2ccccc12,2700.0,nM,=,CHEMBL3814125,active
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Cl)cc2)nc2ccccc12,8100.0,nM,=,CHEMBL3815148,active
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Cl)c2)nc2ccccc12,13400.0,nM,=,CHEMBL3814191,inactive
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(C(F)(F)F)cc2)nc2ccccc12,5300.0,nM,=,CHEMBL3814611,active
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(C(F)(F)F)c2)nc2ccccc12,13800.0,nM,=,CHEMBL3815150,inactive
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Cc1ccc(CNc2nc(N)c3ccccc3n2)cc1,22500.0,nM,=,CHEMBL3813859,inactive
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccccc2)nc2ccccc12,8400.0,nM,=,CHEMBL3814134,active
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,O=S(=O)([O-])c1cc(S(=O)(=O)[O-])c2c(/N=N/c3ccccc3)c(O)ccc2c1.[Na+].[Na+],8700.0,nM,=,CHEMBL410263,active
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Br)cc2)c2ccccc2n1,14800.0,nM,=,CHEMBL3814631,inactive
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Br)c2)c2ccccc2n1,22300.0,nM,=,CHEMBL3814270,inactive
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(C(F)(F)F)c2)c2ccccc2n1,21000.0,nM,=,CHEMBL3814349,inactive
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,2600.0,nM,=,CHEMBL165,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,1500.0,nM,=,CHEMBL140,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCCc2ccccc2)nc2ccccc12,14900.0,nM,=,CHEMBL3814610,inactive
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(F)c2)nc2ccccc12,11300.0,nM,=,CHEMBL3813837,inactive
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Br)cc2)nc2ccccc12,1700.0,nM,=,CHEMBL3814001,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Br)c2)nc2ccccc12,1500.0,nM,=,CHEMBL3814125,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Cl)cc2)nc2ccccc12,930.0,nM,=,CHEMBL3815148,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Cl)c2)nc2ccccc12,5900.0,nM,=,CHEMBL3814191,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(C(F)(F)F)cc2)nc2ccccc12,2300.0,nM,=,CHEMBL3814611,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(C(F)(F)F)c2)nc2ccccc12,12500.0,nM,=,CHEMBL3815150,inactive
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,COc1ccc(CNc2nc(N)c3ccccc3n2)cc1,6800.0,nM,=,CHEMBL3814909,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Cc1ccc(CNc2nc(N)c3ccccc3n2)cc1,13100.0,nM,=,CHEMBL3813859,inactive
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccccc2)nc2ccccc12,2200.0,nM,=,CHEMBL3814134,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,O=S(=O)([O-])c1cc(S(=O)(=O)[O-])c2c(/N=N/c3ccccc3)c(O)ccc2c1.[Na+].[Na+],3000.0,nM,=,CHEMBL410263,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCC2CCCCC2)c2ccccc2n1,13600.0,nM,=,CHEMBL3815002,inactive
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,CC(C)Nc1nc(N)nc2ccccc12,10200.0,nM,=,CHEMBL3814965,inactive
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,CCCNc1nc(N)nc2ccccc12,14900.0,nM,=,CHEMBL3814813,inactive
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCCc2ccccc2)c2ccccc2n1,7800.0,nM,=,CHEMBL3814123,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(F)cc2)c2ccccc2n1,3100.0,nM,=,CHEMBL3357256,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(F)c2)c2ccccc2n1,2800.0,nM,=,CHEMBL3814748,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Br)cc2)c2ccccc2n1,80.0,nM,=,CHEMBL3814631,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Br)c2)c2ccccc2n1,580.0,nM,=,CHEMBL3814270,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Cl)cc2)c2ccccc2n1,620.0,nM,=,CHEMBL3813811,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Cl)c2)c2ccccc2n1,1900.0,nM,=,CHEMBL3814383,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(C(F)(F)F)cc2)c2ccccc2n1,1900.0,nM,=,CHEMBL3814660,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(C(F)(F)F)c2)c2ccccc2n1,3500.0,nM,=,CHEMBL3814349,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,COc1ccc(CNc2nc(N)nc3ccccc23)cc1,1100.0,nM,=,CHEMBL3813788,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,COc1cccc(CNc2nc(N)nc3ccccc23)c1,20600.0,nM,=,CHEMBL3814429,inactive
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Cc1ccc(CNc2nc(N)nc3ccccc23)cc1,3900.0,nM,=,CHEMBL3813971,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Cc1cccc(CNc2nc(N)nc3ccccc23)c1,3600.0,nM,=,CHEMBL3814363,active
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccccc2)c2ccccc2n1,4800.0,nM,=,CHEMBL3815078,active
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,9000.0,nM,=,CHEMBL140,active
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,Nc1c(/N=N/c2ccc(-c3ccc(/N=N/c4cc(S(=O)(=O)[O-])c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+],1300.0,nM,=,CHEMBL429694,active
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,CNc1cccc(CCNc2cccc(NCCc3ccccn3)n2)n1,35000.0,nM,=,CHEMBL3815004,inactive
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,CNc1cccc(NCCCc2cccc(NCCCc3ccccn3)n2)n1,17000.0,nM,=,CHEMBL3814529,inactive
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,CNc1cccc(NCCc2cccc(NCCc3ccccn3)n2)n1,25000.0,nM,=,CHEMBL3814719,inactive
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,CNc1cccc(NCCc2cccc(NCc3ccccn3)n2)n1,13000.0,nM,=,CHEMBL3814159,inactive
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,CNc1cccc(CCNc2cccc(CCN(c3ccccn3)c3ccccn3)n2)n1,240000.0,nM,=,CHEMBL3813916,inactive
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,CNc1cccc(CCNc2cccc(CCNc3ccccn3)n2)n1,280000.0,nM,=,CHEMBL3814563,inactive
Inhibition of self-induced amyloid beta (1 to 42) (unknown origin) aggregation incubated for 48 hrs measured after 5 mins by thioflavin-T fluorescence assay,IC50,O=C1C(=Cc2ccc(N3CCN(C(=O)c4ccco4)CC3)cc2)C(=O)c2ccccc21,9200.0,nM,=,CHEMBL3818600,active
Inhibition of self-induced amyloid beta (1 to 42) (unknown origin) aggregation incubated for 48 hrs measured after 5 mins by thioflavin-T fluorescence assay,IC50,O=C1C(=Cc2ccc(N3CCN(C(c4ccccc4)c4ccccc4)CC3)cc2)C(=O)c2ccccc21,11750.0,nM,=,CHEMBL3819454,inactive
Inhibition of self-induced amyloid beta (1 to 42) (unknown origin) aggregation incubated for 48 hrs measured after 5 mins by thioflavin-T fluorescence assay,IC50,O=C1C(=Cc2ccc(N3CCN(c4ncccn4)CC3)cc2)C(=O)c2ccccc21,10110.0,nM,=,CHEMBL3818053,inactive
Inhibition of self-induced amyloid beta (1 to 42) (unknown origin) aggregation incubated for 48 hrs measured after 5 mins by thioflavin-T fluorescence assay,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,21810.0,nM,=,CHEMBL140,inactive
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(O)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc(O)cc1OC,4600.0,nM,=,CHEMBL3942680,active
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.[Cl-],500.0,nM,=,CHEMBL405110,active
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2ccc3cc[nH]c3c2)[nH]n1,1200.0,nM,=,CHEMBL3953399,active
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(OCc2ccccn2)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,470.0,nM,=,CHEMBL3948937,active
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(OCc2ccccc2)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,5400.0,nM,=,CHEMBL3901022,active
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(OCC2CCCO2)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,2500.0,nM,=,CHEMBL3938007,active
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc3cc[nH]c3c2)c(OC)c1,610.0,nM,=,CHEMBL3965306,active
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(O)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,520.0,nM,=,CHEMBL3911126,active
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccco2)ccc1O,760.0,nM,=,CHEMBL3981143,active
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccccc2)ccc1O,2200.0,nM,=,CHEMBL3892054,active
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc3cc[nH]c3c2)ccc1O,420.0,nM,=,CHEMBL3950384,active
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc3ccccc3c2)ccc1O,590.0,nM,=,CHEMBL3922663,active
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc3c(c2)OCO3)ccc1O,3700.0,nM,=,CHEMBL3978488,active
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)c(O)c1,930.0,nM,=,CHEMBL3672436,active
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(O)cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)c1,1100.0,nM,=,CHEMBL3970179,active
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1ccc(O)c(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)c1,1800.0,nM,=,CHEMBL3940632,active
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)cc2OC)ccc1O,920.0,nM,=,CHEMBL3672401,active
