assay,std_type,SMILES,std_value,std_units,standard_relation,molecule_chembl_id,activity_type,structure_curated,substance_type_name,pIC50
Inhibition of amyloid beta (1 to 42) (unknown origin) aggregation measured after 24 hrs by Thioflavin T-based fluorometric assay,IC50,Fc1ccc(-c2cc(NCCNc3cc(-c4ccc(F)cc4)[nH]n3)n[nH]2)cc1,40500.0,nM,=,CHEMBL3781026,inactive,Fc1ccc(-c2cc(NCCNc3cc(-c4ccc(F)cc4)[nH]n3)n[nH]2)cc1,organic,4.392544976785332
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1ccc(CC(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1,71.28,nM,=,CHEMBL3797646,active,COc1ccc(CC(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1,organic,7.147032308971181
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1ccc(CC(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1OC,22.54,nM,=,CHEMBL3797706,active,COc1ccc(CC(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1OC,organic,7.647046088289912
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1ccc(CC(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)c(OC)c1OC,51.81,nM,=,CHEMBL3799558,active,COc1ccc(CC(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)c(OC)c1OC,organic,7.285586407712879
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,O=C(COC(=O)Cc1ccc(O)cc1)Nc1c2c(nc3ccccc13)CCCC2,45.29,nM,=,CHEMBL3798857,active,O=C(COC(=O)Cc1ccc(O)cc1)Nc1c2c(nc3ccccc13)CCCC2,organic,7.3439976793170425
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,O=C(COC(=O)Cc1ccc(Cl)cc1)Nc1c2c(nc3ccccc13)CCCC2,77.45,nM,=,CHEMBL3797623,active,O=C(COC(=O)Cc1ccc(Cl)cc1)Nc1c2c(nc3ccccc13)CCCC2,organic,7.110978577904775
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(OC)cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)c1,55.86,nM,=,CHEMBL3798989,active,COc1cc(OC)cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)c1,organic,7.252899068635013
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,30.74,nM,=,CHEMBL3797363,active,COc1cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,organic,7.512296136836274
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1ccc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)c(OC)c1OC,65.5,nM,=,CHEMBL3799703,active,COc1ccc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)c(OC)c1OC,organic,7.183758700008217
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)ccc1O,37.36,nM,=,CHEMBL3797381,active,COc1cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)ccc1O,organic,7.427593132441944
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,O=C(COC(=O)c1ccc(O)c(O)c1)Nc1c2c(nc3ccccc13)CCCC2,17.36,nM,=,CHEMBL3800453,active,O=C(COC(=O)c1ccc(O)c(O)c1)Nc1c2c(nc3ccccc13)CCCC2,organic,7.760450279159527
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1ccc(/C=C/C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1OC,49.14,nM,=,CHEMBL3800317,active,COc1ccc(/C=C/C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1OC,organic,7.308564847855938
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(/C=C/C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,45.88,nM,=,CHEMBL3799950,active,COc1cc(/C=C/C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,organic,7.33837659077077
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1ccc(/C=C/C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1O,46.12,nM,=,CHEMBL3798813,active,COc1ccc(/C=C/C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1O,organic,7.336110701377339
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,O=C(COC(=O)/C=C/c1ccc(Cl)cc1)Nc1c2c(nc3ccccc13)CCCC2,51.77,nM,=,CHEMBL3799175,active,O=C(COC(=O)/C=C/c1ccc(Cl)cc1)Nc1c2c(nc3ccccc13)CCCC2,organic,7.285921835018144
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,O=C(COC(=O)Cc1c[nH]c2ccccc12)Nc1c2c(nc3ccccc13)CCCC2,38.96,nM,=,CHEMBL3799641,active,O=C(COC(=O)Cc1c[nH]c2ccccc12)Nc1c2c(nc3ccccc13)CCCC2,organic,7.409381051793422
Inhibition of self-mediated amyloid beta (1 to 42) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,Nc1c2c(nc3ccccc13)CCCC2,12.21,nM,=,CHEMBL95,active,Nc1c2c(nc3ccccc13)CCCC2,organic,7.913284336055117
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,4100.0,nM,=,CHEMBL165,active,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,organic,5.3872161432802645
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,3100.0,nM,=,CHEMBL140,active,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,organic,5.508638306165727
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(F)c2)nc2ccccc12,14700.0,nM,=,CHEMBL3813837,inactive,Nc1nc(NCc2cccc(F)c2)nc2ccccc12,organic,4.8326826652518236
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Br)cc2)nc2ccccc12,1700.0,nM,=,CHEMBL3814001,active,Nc1nc(NCc2ccc(Br)cc2)nc2ccccc12,organic,5.769551078621726
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Br)c2)nc2ccccc12,2700.0,nM,=,CHEMBL3814125,active,Nc1nc(NCc2cccc(Br)c2)nc2ccccc12,organic,5.568636235841013
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Cl)cc2)nc2ccccc12,8100.0,nM,=,CHEMBL3815148,active,Nc1nc(NCc2ccc(Cl)cc2)nc2ccccc12,organic,5.0915149811213505
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Cl)c2)nc2ccccc12,13400.0,nM,=,CHEMBL3814191,inactive,Nc1nc(NCc2cccc(Cl)c2)nc2ccccc12,organic,4.872895201635193
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(C(F)(F)F)cc2)nc2ccccc12,5300.0,nM,=,CHEMBL3814611,active,Nc1nc(NCc2ccc(C(F)(F)F)cc2)nc2ccccc12,organic,5.275724130399211
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(C(F)(F)F)c2)nc2ccccc12,13800.0,nM,=,CHEMBL3815150,inactive,Nc1nc(NCc2cccc(C(F)(F)F)c2)nc2ccccc12,organic,4.860120913598763
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Cc1ccc(CNc2nc(N)c3ccccc3n2)cc1,22500.0,nM,=,CHEMBL3813859,inactive,Cc1ccc(CNc2nc(N)c3ccccc3n2)cc1,organic,4.647817481888637
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccccc2)nc2ccccc12,8400.0,nM,=,CHEMBL3814134,active,Nc1nc(NCc2ccccc2)nc2ccccc12,organic,5.075720713938118
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Br)cc2)c2ccccc2n1,14800.0,nM,=,CHEMBL3814631,inactive,Nc1nc(NCc2ccc(Br)cc2)c2ccccc2n1,organic,4.8297382846050425
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Br)c2)c2ccccc2n1,22300.0,nM,=,CHEMBL3814270,inactive,Nc1nc(NCc2cccc(Br)c2)c2ccccc2n1,organic,4.651695136951839
Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(C(F)(F)F)c2)c2ccccc2n1,21000.0,nM,=,CHEMBL3814349,inactive,Nc1nc(NCc2cccc(C(F)(F)F)c2)c2ccccc2n1,organic,4.6777807052660805
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,2600.0,nM,=,CHEMBL165,active,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,organic,5.585026652029182
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,1500.0,nM,=,CHEMBL140,active,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,organic,5.823908740944319
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCCc2ccccc2)nc2ccccc12,14900.0,nM,=,CHEMBL3814610,inactive,Nc1nc(NCCc2ccccc2)nc2ccccc12,organic,4.826813731587726
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(F)c2)nc2ccccc12,11300.0,nM,=,CHEMBL3813837,inactive,Nc1nc(NCc2cccc(F)c2)nc2ccccc12,organic,4.94692155651658
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Br)cc2)nc2ccccc12,1700.0,nM,=,CHEMBL3814001,active,Nc1nc(NCc2ccc(Br)cc2)nc2ccccc12,organic,5.769551078621726
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Br)c2)nc2ccccc12,1500.0,nM,=,CHEMBL3814125,active,Nc1nc(NCc2cccc(Br)c2)nc2ccccc12,organic,5.823908740944319
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Cl)cc2)nc2ccccc12,930.0,nM,=,CHEMBL3815148,active,Nc1nc(NCc2ccc(Cl)cc2)nc2ccccc12,organic,6.031517051446065
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Cl)c2)nc2ccccc12,5900.0,nM,=,CHEMBL3814191,active,Nc1nc(NCc2cccc(Cl)c2)nc2ccccc12,organic,5.229147988357856
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(C(F)(F)F)cc2)nc2ccccc12,2300.0,nM,=,CHEMBL3814611,active,Nc1nc(NCc2ccc(C(F)(F)F)cc2)nc2ccccc12,organic,5.638272163982407
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(C(F)(F)F)c2)nc2ccccc12,12500.0,nM,=,CHEMBL3815150,inactive,Nc1nc(NCc2cccc(C(F)(F)F)c2)nc2ccccc12,organic,4.903089986991944
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,COc1ccc(CNc2nc(N)c3ccccc3n2)cc1,6800.0,nM,=,CHEMBL3814909,active,COc1ccc(CNc2nc(N)c3ccccc3n2)cc1,organic,5.167491087293763
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Cc1ccc(CNc2nc(N)c3ccccc3n2)cc1,13100.0,nM,=,CHEMBL3813859,inactive,Cc1ccc(CNc2nc(N)c3ccccc3n2)cc1,organic,4.882728704344236
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccccc2)nc2ccccc12,2200.0,nM,=,CHEMBL3814134,active,Nc1nc(NCc2ccccc2)nc2ccccc12,organic,5.657577319177793
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCC2CCCCC2)c2ccccc2n1,13600.0,nM,=,CHEMBL3815002,inactive,Nc1nc(NCC2CCCCC2)c2ccccc2n1,organic,4.866461091629782
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,CC(C)Nc1nc(N)nc2ccccc12,10200.0,nM,=,CHEMBL3814965,inactive,CC(C)Nc1nc(N)nc2ccccc12,organic,4.991399828238082
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,CCCNc1nc(N)nc2ccccc12,14900.0,nM,=,CHEMBL3814813,inactive,CCCNc1nc(N)nc2ccccc12,organic,4.826813731587726
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCCc2ccccc2)c2ccccc2n1,7800.0,nM,=,CHEMBL3814123,active,Nc1nc(NCCc2ccccc2)c2ccccc2n1,organic,5.107905397309519
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(F)cc2)c2ccccc2n1,3100.0,nM,=,CHEMBL3357256,active,Nc1nc(NCc2ccc(F)cc2)c2ccccc2n1,organic,5.508638306165727
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(F)c2)c2ccccc2n1,2800.0,nM,=,CHEMBL3814748,active,Nc1nc(NCc2cccc(F)c2)c2ccccc2n1,organic,5.552841968657781
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Br)cc2)c2ccccc2n1,80.0,nM,=,CHEMBL3814631,active,Nc1nc(NCc2ccc(Br)cc2)c2ccccc2n1,organic,7.096910013008056
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Br)c2)c2ccccc2n1,580.0,nM,=,CHEMBL3814270,active,Nc1nc(NCc2cccc(Br)c2)c2ccccc2n1,organic,6.236572006437063
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(Cl)cc2)c2ccccc2n1,620.0,nM,=,CHEMBL3813811,active,Nc1nc(NCc2ccc(Cl)cc2)c2ccccc2n1,organic,6.2076083105017466
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(Cl)c2)c2ccccc2n1,1900.0,nM,=,CHEMBL3814383,active,Nc1nc(NCc2cccc(Cl)c2)c2ccccc2n1,organic,5.721246399047171
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccc(C(F)(F)F)cc2)c2ccccc2n1,1900.0,nM,=,CHEMBL3814660,active,Nc1nc(NCc2ccc(C(F)(F)F)cc2)c2ccccc2n1,organic,5.721246399047171
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2cccc(C(F)(F)F)c2)c2ccccc2n1,3500.0,nM,=,CHEMBL3814349,active,Nc1nc(NCc2cccc(C(F)(F)F)c2)c2ccccc2n1,organic,5.455931955649724
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,COc1ccc(CNc2nc(N)nc3ccccc23)cc1,1100.0,nM,=,CHEMBL3813788,active,COc1ccc(CNc2nc(N)nc3ccccc23)cc1,organic,5.958607314841775
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,COc1cccc(CNc2nc(N)nc3ccccc23)c1,20600.0,nM,=,CHEMBL3814429,inactive,COc1cccc(CNc2nc(N)nc3ccccc23)c1,organic,4.686132779630847
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Cc1ccc(CNc2nc(N)nc3ccccc23)cc1,3900.0,nM,=,CHEMBL3813971,active,Cc1ccc(CNc2nc(N)nc3ccccc23)cc1,organic,5.4089353929735005
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Cc1cccc(CNc2nc(N)nc3ccccc23)c1,3600.0,nM,=,CHEMBL3814363,active,Cc1cccc(CNc2nc(N)nc3ccccc23)c1,organic,5.443697499232712
Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis,IC50,Nc1nc(NCc2ccccc2)c2ccccc2n1,4800.0,nM,=,CHEMBL3815078,active,Nc1nc(NCc2ccccc2)c2ccccc2n1,organic,5.318758762624412
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,9000.0,nM,=,CHEMBL140,active,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,organic,5.045757490560675
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,CNc1cccc(CCNc2cccc(NCCc3ccccn3)n2)n1,35000.0,nM,=,CHEMBL3815004,inactive,CNc1cccc(CCNc2cccc(NCCc3ccccn3)n2)n1,organic,4.455931955649724
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,CNc1cccc(NCCCc2cccc(NCCCc3ccccn3)n2)n1,17000.0,nM,=,CHEMBL3814529,inactive,CNc1cccc(NCCCc2cccc(NCCCc3ccccn3)n2)n1,organic,4.769551078621726
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,CNc1cccc(NCCc2cccc(NCCc3ccccn3)n2)n1,25000.0,nM,=,CHEMBL3814719,inactive,CNc1cccc(NCCc2cccc(NCCc3ccccn3)n2)n1,organic,4.6020599913279625
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,CNc1cccc(NCCc2cccc(NCc3ccccn3)n2)n1,13000.0,nM,=,CHEMBL3814159,inactive,CNc1cccc(NCCc2cccc(NCc3ccccn3)n2)n1,organic,4.886056647693163
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,CNc1cccc(CCNc2cccc(CCN(c3ccccn3)c3ccccn3)n2)n1,240000.0,nM,=,CHEMBL3813916,inactive,CNc1cccc(CCNc2cccc(CCN(c3ccccn3)c3ccccn3)n2)n1,organic,3.619788758288394
Inhibition of Abeta42 (unknown origin) aggregation measured after 24 hrs by ThT fluorescence assay,IC50,CNc1cccc(CCNc2cccc(CCNc3ccccn3)n2)n1,280000.0,nM,=,CHEMBL3814563,inactive,CNc1cccc(CCNc2cccc(CCNc3ccccn3)n2)n1,organic,3.5528419686577806
Inhibition of self-induced amyloid beta (1 to 42) (unknown origin) aggregation incubated for 48 hrs measured after 5 mins by thioflavin-T fluorescence assay,IC50,O=C1C(=Cc2ccc(N3CCN(C(=O)c4ccco4)CC3)cc2)C(=O)c2ccccc21,9200.0,nM,=,CHEMBL3818600,active,O=C1C(=Cc2ccc(N3CCN(C(=O)c4ccco4)CC3)cc2)C(=O)c2ccccc21,organic,5.036212172654444
Inhibition of self-induced amyloid beta (1 to 42) (unknown origin) aggregation incubated for 48 hrs measured after 5 mins by thioflavin-T fluorescence assay,IC50,O=C1C(=Cc2ccc(N3CCN(C(c4ccccc4)c4ccccc4)CC3)cc2)C(=O)c2ccccc21,11750.0,nM,=,CHEMBL3819454,inactive,O=C1C(=Cc2ccc(N3CCN(C(c4ccccc4)c4ccccc4)CC3)cc2)C(=O)c2ccccc21,organic,4.9299621333922445
Inhibition of self-induced amyloid beta (1 to 42) (unknown origin) aggregation incubated for 48 hrs measured after 5 mins by thioflavin-T fluorescence assay,IC50,O=C1C(=Cc2ccc(N3CCN(c4ncccn4)CC3)cc2)C(=O)c2ccccc21,10110.0,nM,=,CHEMBL3818053,inactive,O=C1C(=Cc2ccc(N3CCN(c4ncccn4)CC3)cc2)C(=O)c2ccccc21,organic,4.995248844408999
Inhibition of self-induced amyloid beta (1 to 42) (unknown origin) aggregation incubated for 48 hrs measured after 5 mins by thioflavin-T fluorescence assay,IC50,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,21810.0,nM,=,CHEMBL140,inactive,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,organic,4.661344334421299
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(O)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc(O)cc1OC,4600.0,nM,=,CHEMBL3942680,active,COc1cc(O)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc(O)cc1OC,organic,5.337242168318426
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2ccc3cc[nH]c3c2)[nH]n1,1200.0,nM,=,CHEMBL3953399,active,COc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2ccc3cc[nH]c3c2)[nH]n1,organic,5.920818753952375
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(OCc2ccccn2)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,470.0,nM,=,CHEMBL3948937,active,COc1cc(OCc2ccccn2)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,organic,6.327902142064283
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(OCc2ccccc2)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,5400.0,nM,=,CHEMBL3901022,active,COc1cc(OCc2ccccc2)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,organic,5.267606240177032
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(OCC2CCCO2)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,2500.0,nM,=,CHEMBL3938007,active,COc1cc(OCC2CCCO2)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,organic,5.6020599913279625
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc3cc[nH]c3c2)c(OC)c1,610.0,nM,=,CHEMBL3965306,active,COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc3cc[nH]c3c2)c(OC)c1,organic,6.214670164989233
Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T fluorescence assay,IC50,COc1cc(O)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,520.0,nM,=,CHEMBL3911126,active,COc1cc(O)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,organic,6.2839966563652006
