assay,std_type,SMILES,std_value,std_units,standard_relation,molecule_chembl_id
Inhibition of amyloid beta-40 aggregation (unknown origin) assessed as alpha-helix at 900 uM after 72 hrs by CD spectra analysis (Rvb = 11 to 15%),Activity,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,18.0,%,=,CHEMBL1236395
Inhibition of amyloid beta-40 aggregation (unknown origin) assessed as beta-sheet at 6 uM after 72 hrs by CD spectra analysis (Rvb = 1 to 3%),Activity,OC[C@H]1O[C@H](O[C@H]2O[C@H](Cn3cc(COCC(COCc4cn(C[C@H]5O[C@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@@H](O)[C@@H]5O)nn4)(COCc4cn(C[C@H]5O[C@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@@H](O)[C@@H]5O)nn4)COCC(COCc4cn(C[C@H]5O[C@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@@H](O)[C@@H]5O)nn4)(COCc4cn(C[C@H]5O[C@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@@H](O)[C@@H]5O)nn4)COCc4cn(C[C@H]5O[C@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@@H](O)[C@@H]5O)nn4)nn3)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,35.0,%,=,CHEMBL3327022
Inhibition of amyloid beta-40 aggregation (unknown origin) assessed as beta-sheet at 30 uM after 72 hrs by CD spectra analysis (Rvb = 1 to 3%),Activity,OC[C@H]1O[C@H](O[C@H]2O[C@H](Cn3cc(COCC(COCc4cn(C[C@H]5O[C@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@@H](O)[C@@H]5O)nn4)(COCc4cn(C[C@H]5O[C@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@@H](O)[C@@H]5O)nn4)COCC(COCc4cn(C[C@H]5O[C@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@@H](O)[C@@H]5O)nn4)(COCc4cn(C[C@H]5O[C@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@@H](O)[C@@H]5O)nn4)COCc4cn(C[C@H]5O[C@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@@H](O)[C@@H]5O)nn4)nn3)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,32.0,%,=,CHEMBL3327022
Inhibition of amyloid beta-40 aggregation (unknown origin) assessed as fibril width at 1800 uM for 7 days at pH 7.4 by transmission electron microscopy (Rvb = 12.3 +/- 1.2 nanometer),Activity,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,11.8,nm,=,CHEMBL1236395
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T based fluorometric assay,Inhibition,COC(=O)c1cc2c(cn1)[nH]c1ccccc12,22.1,%,=,CHEMBL453066
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T based fluorometric assay,Inhibition,Cc1nc(C(=O)NCCNc2c3c(nc4ccccc24)CCCC3)cc2c1[nH]c1ccccc12,42.4,%,=,CHEMBL3343883
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T based fluorometric assay,Inhibition,Cc1nc(C(=O)NCCCCNc2c3c(nc4ccccc24)CCCC3)cc2c1[nH]c1ccccc12,39.3,%,=,CHEMBL3343884
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T based fluorometric assay,Inhibition,Cc1nc(C(=O)NCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc2c1[nH]c1ccccc12,41.5,%,=,CHEMBL3343885
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T based fluorometric assay,Inhibition,Cc1nc(C(=O)NCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc2c1[nH]c1ccccc12,36.6,%,=,CHEMBL3343920
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T based fluorometric assay,Inhibition,Cc1nc(C(=O)NCCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc2c1[nH]c1ccccc12,38.8,%,=,CHEMBL3343921
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T based fluorometric assay,Inhibition,O=C(NCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc2c(cn1)[nH]c1ccccc12,41.2,%,=,CHEMBL3343922
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T based fluorometric assay,Inhibition,CCc1nc(C(=O)NCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc2c1[nH]c1ccccc12,44.6,%,=,CHEMBL3343882
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T based fluorometric assay,Inhibition,O=C(NCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc2c([nH]c3ccccc32)c(-c2ccccc2)n1,26.1,%,=,CHEMBL3343923
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T based fluorometric assay,Inhibition,O=C(NCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc2c([nH]c3ccccc32)c(-c2ccc(F)cc2)n1,29.7,%,=,CHEMBL3343924
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T based fluorometric assay,Inhibition,COc1ccc(-c2nc(C(=O)NCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc3c2[nH]c2ccccc23)cc1,25.2,%,=,CHEMBL3343925
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T based fluorometric assay,Inhibition,CC(C)(C)OC(=O)N1Cc2[nH]c3ccccc3c2C[C@H]1C(=O)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,52.4,%,=,CHEMBL3343926
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T based fluorometric assay,Inhibition,O=C(NCCCCCCNc1c2c(nc3ccccc13)CCCC2)[C@@H]1Cc2c([nH]c3ccccc23)CN1,65.8,%,=,CHEMBL3343927
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T based fluorometric assay,Inhibition,CC1c2[nH]c3ccccc3c2C[C@@H](C(=O)NCCCCCCNc2c3c(nc4ccccc24)CCCC3)N1C(=O)OC(C)(C)C,42.3,%,=,CHEMBL3343928
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T based fluorometric assay,Inhibition,CC1N[C@H](C(=O)NCCCCCCNc2c3c(nc4ccccc24)CCCC3)Cc2c1[nH]c1ccccc21,48.6,%,=,CHEMBL3343929
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T based fluorometric assay,Inhibition,CC(C)(C)OC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,62.1,%,=,CHEMBL3343930
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T based fluorometric assay,Inhibition,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,66.3,%,=,CHEMBL3343931
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T based fluorometric assay,Inhibition,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,61.4,%,=,CHEMBL3343932
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T based fluorometric assay,Inhibition,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,42.3,%,=,CHEMBL116438
Inhibition of Cu2+-induced amyloid beta (1 to 42) (unknown origin) aggregation at 50 uM after 24 hrs by thioflavin-T based fluorescence assay,Inhibition,O=C(NCCCCCCNc1c2c(nc3ccccc13)CCCC2)[C@@H]1Cc2c([nH]c3ccccc23)CN1,63.7,%,=,CHEMBL3343927
Inhibition of Cu2+-induced amyloid beta (1 to 42) (unknown origin) aggregation at 50 uM after 24 hrs by thioflavin-T based fluorescence assay,Inhibition,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,56.7,%,=,CHEMBL76
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 8 to 48 hrs by thioflavin T fluorescence method,Inhibition,Nc1c2c(nc3ccccc13)CCCC2,,%,,CHEMBL95
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 8 to 48 hrs by thioflavin T fluorescence method,Inhibition,COCCN(C[C@H]1CCCN(C2Cc3ccccc3C2)C1)C(=O)c1ccc2ccccc2c1,57.5,%,=,CHEMBL3338395
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 8 to 48 hrs by thioflavin T fluorescence method,Inhibition,COCCN(C[C@@H]1CCCN(C2Cc3ccccc3C2)C1)C(=O)c1ccc2ccccc2c1,60.3,%,=,CHEMBL3338394
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 8 to 48 hrs by thioflavin T fluorescence method,Inhibition,CCn1nc(C(=O)N2CCCC2)c2c1CCC(NCCc1nc(-c3ccccc3)cs1)C2,,%,,CHEMBL3338393
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 8 to 48 hrs by thioflavin T fluorescence method,Inhibition,CC(c1nc2ccccc2s1)N(C)C(=O)CN1CCCC1c1ccc2c(c1)OCCCO2,,%,,CHEMBL3338392
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 8 to 48 hrs by thioflavin T fluorescence method,Inhibition,COCCN(CC1CCCN(C2Cc3ccccc3C2)C1)C(=O)c1ccc2ccccc2c1,61.7,%,=,CHEMBL3338391
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,COc1ccc2nc3c(c(NCCNC4=CC(=O)c5ccccc5C4=O)c2c1)CCCC3,22.4,%,=,CHEMBL3356528
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,COc1ccc2nc3c(c(NCCCNC4=CC(=O)c5ccccc5C4=O)c2c1)CCCC3,32.9,%,=,CHEMBL3356529
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,O=C1C=C(NCCNc2c3c(nc4ccccc24)CCCC3)C(=O)c2ccccc21,28.0,%,=,CHEMBL3356530
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,O=C1C=C(NCCCNc2c3c(nc4ccccc24)CCCC3)C(=O)c2ccccc21,31.1,%,=,CHEMBL3356531
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,O=C1C=C(NCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)C(=O)c2ccccc21,22.6,%,=,CHEMBL3356532
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,O=C1C=C(NCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)C(=O)c2ccccc21,41.2,%,=,CHEMBL3356533
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,O=C1C(NCCNc2c3c(nc4ccccc24)CCCC3)=CC(=O)c2c(O)cccc21,39.9,%,=,CHEMBL3356534
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,O=C1C(NCCCNc2c3c(nc4ccccc24)CCCC3)=CC(=O)c2c(O)cccc21,37.9,%,=,CHEMBL3356535
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,O=C1C(NCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)=CC(=O)c2c(O)cccc21,37.5,%,=,CHEMBL3356536
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,O=C1C(NCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)=CC(=O)c2c(O)cccc21,,%,,CHEMBL3356537
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,COc1ccc2nc3c(c(NCCNC4=CC(=O)c5c(O)cccc5C4=O)c2c1)CCCC3,41.3,%,=,CHEMBL3356538
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,COc1ccc2nc3c(c(NCCCNC4=CC(=O)c5c(O)cccc5C4=O)c2c1)CCCC3,41.6,%,=,CHEMBL3356539
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,COc1ccc2nc3c(c(NCCNC4=C(Cl)C(=O)c5ccccc5C4=O)c2c1)CCCC3,29.3,%,=,CHEMBL3356540
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,COc1ccc2nc3c(c(NCCCNC4=C(Cl)C(=O)c5ccccc5C4=O)c2c1)CCCC3,40.6,%,=,CHEMBL3356950
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,O=C1C(Cl)=C(NCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)C(=O)c2ccccc21,33.2,%,=,CHEMBL3356951
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,O=C1C(Cl)=C(NCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)C(=O)c2ccccc21,52.8,%,=,CHEMBL3356952
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,O=C1C(Cl)=C(NCCNc2c3c(nc4ccccc24)CCCC3)C(=O)c2ccccc21,26.6,%,=,CHEMBL3356953
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,O=C1C(Cl)=C(NCCCNc2c3c(nc4ccccc24)CCCC3)C(=O)c2ccccc21,34.8,%,=,CHEMBL3356954
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,Nc1c2c(nc3ccccc13)CCCC2,5.0,%,<,CHEMBL95
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,Nc1c2c(nc3cc(Cl)ccc13)CCCC2,5.0,%,<,CHEMBL292314
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,COc1ccc2nc3c(c(N)c2c1)CCCC3,,%,,CHEMBL1256415
Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) at 10 uM after 24 hrs by thioflavin T fluorescence method,Inhibition,CCN(CCCCCCNC1=CC(=O)C(NCCCCCCN(CC)Cc2ccccc2OC)=CC1=O)Cc1ccccc1OC,87.1,%,=,CHEMBL231160
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,64.2,%,=,CHEMBL165
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O,50.2,%,=,CHEMBL116438
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,CC(C)NNC(=O)c1ccncc1,,%,,CHEMBL92401
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,C#CCN(C)Cc1ccccc1,,%,,CHEMBL673
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,Cc1cc(=O)[nH]c2cc(NCc3ccccc3O)ccc12,32.6,%,=,CHEMBL3394545
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,O=c1oc2cc(NCc3ccccc3O)ccc2c2c1CCC2,41.6,%,=,CHEMBL3394544
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,O=c1oc2cc(NCc3ccccc3O)ccc2c2c1CCCC2,43.7,%,=,CHEMBL3394543
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,Cc1c(Cl)c(=O)oc2cc(NCc3ccccc3O)ccc12,47.6,%,=,CHEMBL3394542
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,Cc1c(C)c2ccc(NCc3ccccc3O)cc2oc1=O,47.7,%,=,CHEMBL3394541
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,Cc1cc(=O)oc2cc(NCc3ccccc3O)ccc12,36.1,%,=,CHEMBL3394540
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,Cc1c(C)c2ccc(/N=C/c3ccccc3O)cc2[nH]c1=O,49.1,%,=,CHEMBL3394539
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,Cc1cc(=O)[nH]c2cc(/N=C/c3ccccc3O)ccc12,35.6,%,=,CHEMBL3394538
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,O=c1oc2cc(/N=C/c3ccc(O)cc3O)ccc2c2c1CCC2,56.4,%,=,CHEMBL3394537
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,O=c1oc2cc(/N=C/c3ccc(O)cc3O)ccc2c2c1CCCC2,58.5,%,=,CHEMBL3394536
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,Cc1c(Cl)c(=O)oc2cc(/N=C/c3ccc(O)cc3O)ccc12,60.2,%,=,CHEMBL3394535
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,Cc1c(C)c2ccc(/N=C/c3ccc(O)cc3O)cc2oc1=O,57.6,%,=,CHEMBL3394534
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,O=c1oc2cc(/N=C/c3ccccc3O)ccc2c2c1CCC2,52.9,%,=,CHEMBL3394533
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,O=c1oc2cc(/N=C/c3ccccc3O)ccc2c2c1CCCC2,53.7,%,=,CHEMBL3394532
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,Cc1c(Cl)c(=O)oc2cc(/N=C/c3ccccc3O)ccc12,49.3,%,=,CHEMBL3394531
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,Cc1c(C)c2ccc(/N=C/c3ccccc3O)cc2oc1=O,53.9,%,=,CHEMBL3394530
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,Cc1cc(=O)oc2cc(/N=C/c3ccc(Br)cc3O)ccc12,51.5,%,=,CHEMBL3394529
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,Cc1ccc(/C=N/c2ccc3c(C)cc(=O)oc3c2)c(O)c1,49.4,%,=,CHEMBL3394528
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,COc1ccc(/C=N/c2ccc3c(C)cc(=O)oc3c2)c(O)c1,50.2,%,=,CHEMBL3394527
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,Cc1cc(=O)oc2cc(/N=C/c3ccc(O)cc3O)ccc12,50.3,%,=,CHEMBL3394526
Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation at 20 uM after 46 to 48 hrs by thioflavin-T fluorescence method,Inhibition,Cc1cc(=O)oc2cc(/N=C/c3ccccc3O)ccc12,44.8,%,=,CHEMBL574382
Inhibition of Amyloid beta (1 to 42) (unknown origin) self aggregation at 5 uM pre-incubated for 24 hrs by Thioflavin T-based fluorometric assay,Inhibition,O=C(/C=C/c1ccc(O)c(O)c1)NCC(O)CNc1c2c(nc3ccccc13)CCCC2,12.8,%,=,CHEMBL3393735
Inhibition of Amyloid beta (1 to 42) (unknown origin) self aggregation at 5 uM pre-incubated for 24 hrs by Thioflavin T-based fluorometric assay,Inhibition,O=C(/C=C/c1ccc(O)c(O)c1)NCC(O)CNc1c2c(nc3cc(Cl)ccc13)CCCC2,9.2,%,=,CHEMBL3393736
Inhibition of Amyloid beta (1 to 42) (unknown origin) self aggregation at 5 uM pre-incubated for 24 hrs by Thioflavin T-based fluorometric assay,Inhibition,COc1cc(/C=C/C(=O)NCC(O)CNc2c3c(nc4ccccc24)CCCC3)ccc1O,8.4,%,=,CHEMBL3393737
Inhibition of Amyloid beta (1 to 42) (unknown origin) self aggregation at 5 uM pre-incubated for 24 hrs by Thioflavin T-based fluorometric assay,Inhibition,COc1cc(/C=C/C(=O)NCC(O)CNc2c3c(nc4cc(Cl)ccc24)CCCC3)ccc1O,13.5,%,=,CHEMBL3393738
Inhibition of Amyloid beta (1 to 42) (unknown origin) self aggregation at 5 uM pre-incubated for 24 hrs by Thioflavin T-based fluorometric assay,Inhibition,Nc1c(/N=N/c2ccc(-c3ccc(/N=N/c4cc(S(=O)(=O)[O-])c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+],76.6,%,=,CHEMBL429694
Inhibition of Amyloid beta (1 to 42) (unknown origin) self aggregation at 50 uM pre-incubated for 24 hrs by Thioflavin T-based fluorometric assay,Inhibition,O=C(/C=C/c1ccc(O)c(O)c1)NCC(O)CNc1c2c(nc3ccccc13)CCCC2,49.8,%,=,CHEMBL3393735
Inhibition of Amyloid beta (1 to 42) (unknown origin) self aggregation at 50 uM pre-incubated for 24 hrs by Thioflavin T-based fluorometric assay,Inhibition,O=C(/C=C/c1ccc(O)c(O)c1)NCC(O)CNc1c2c(nc3cc(Cl)ccc13)CCCC2,53.2,%,=,CHEMBL3393736
Inhibition of Amyloid beta (1 to 42) (unknown origin) self aggregation at 50 uM pre-incubated for 24 hrs by Thioflavin T-based fluorometric assay,Inhibition,COc1cc(/C=C/C(=O)NCC(O)CNc2c3c(nc4ccccc24)CCCC3)ccc1O,46.3,%,=,CHEMBL3393737
Inhibition of Amyloid beta (1 to 42) (unknown origin) self aggregation at 50 uM pre-incubated for 24 hrs by Thioflavin T-based fluorometric assay,Inhibition,COc1cc(/C=C/C(=O)NCC(O)CNc2c3c(nc4cc(Cl)ccc24)CCCC3)ccc1O,48.9,%,=,CHEMBL3393738
Inhibition of Amyloid beta (1 to 42) (unknown origin) self aggregation at 50 uM pre-incubated for 24 hrs by Thioflavin T-based fluorometric assay,Inhibition,Nc1c(/N=N/c2ccc(-c3ccc(/N=N/c4cc(S(=O)(=O)[O-])c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)[O-])c2ccccc12.[Na+].[Na+],93.2,%,=,CHEMBL429694
Inhibition of self-mediated aggregation of amyloid beta (1-42) (unknown origin) at 25 uM after 24 hrs by thioflavin T fluorescence-based fluorimetric method,Inhibition,COc1cc(O)c2c(=O)cc(C(=O)NCCCN(C)Cc3ccccc3)oc2c1,23.0,%,=,CHEMBL3398298
Inhibition of self-mediated aggregation of amyloid beta (1-42) (unknown origin) at 25 uM after 24 hrs by thioflavin T fluorescence-based fluorimetric method,Inhibition,CCN(CCCNC(=O)c1cc(=O)c2c(O)cc(OC)cc2o1)Cc1ccccc1,21.1,%,=,CHEMBL3398299
Inhibition of self-mediated aggregation of amyloid beta (1-42) (unknown origin) at 25 uM after 24 hrs by thioflavin T fluorescence-based fluorimetric method,Inhibition,COc1cc(O)c2c(=O)cc(C(=O)NCCCN(C)Cc3ccccc3OC)oc2c1,43.6,%,=,CHEMBL3398300
Inhibition of self-mediated aggregation of amyloid beta (1-42) (unknown origin) at 25 uM after 24 hrs by thioflavin T fluorescence-based fluorimetric method,Inhibition,CCN(CCCNC(=O)c1cc(=O)c2c(O)cc(OC)cc2o1)Cc1ccccc1OC,47.9,%,=,CHEMBL3398301
Inhibition of self-mediated aggregation of amyloid beta (1-42) (unknown origin) at 25 uM after 24 hrs by thioflavin T fluorescence-based fluorimetric method,Inhibition,COc1cc(O)c2c(=O)cc(C(=O)NCCCCN(C)Cc3ccccc3)oc2c1,24.4,%,=,CHEMBL3398302
